"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","23,654.50","23,733.70","23,486.00","23,547.75","23,523.85","-","-23.90","-0.10","19,40,92,644","15,141.31","26,373.20","22,182.55","-1.97","-4.96"
"COALINDIA","456.55","477.00","456.55","457.90","473.35","-","15.45","3.37","3,32,56,700","1,553.39","491.25","368.65","-1.70","19.12"
"TCS","2,284.00","2,335.00","2,280.00","2,258.90","2,332.80","-","73.90","3.27","60,06,468","1,380.43","3,538.00","2,206.40","-5.73","-32.66"
"INFY","1,175.00","1,216.20","1,173.70","1,160.90","1,214.30","-","53.40","4.60","95,26,752","1,147.02","1,728.00","1,089.00","2.72","-22.31"
"HDFCBANK","749.00","752.35","743.10","744.55","745.45","-","0.90","0.12","1,34,25,390","1,001.51","1,020.50","726.65","-3.40","-23.34"
"M&M","3,050.00","3,068.90","2,985.20","3,045.60","2,989.60","-","-56.00","-1.84","28,78,956","866.29","3,839.90","2,896.00","-3.53","0.38"
"RELIANCE","1,332.50","1,335.50","1,320.50","1,321.20","1,325.60","-","4.40","0.33","50,10,711","664.97","1,611.80","1,290.00","-7.37","-6.72"
"SBIN","966.25","970.25","958.50","964.40","959.50","-","-4.90","-0.51","55,99,155","539.82","1,234.70","781.70","-10.20","18.12"
"INDIGO","4,525.00","4,633.90","4,489.80","4,405.00","4,505.30","-","100.30","2.28","9,72,834","442.68","6,232.50","3,895.20","4.84","-15.51"
"ICICIBANK","1,257.10","1,261.90","1,247.20","1,256.40","1,248.00","-","-8.40","-0.67","35,01,218","438.94","1,500.00","1,187.60","-1.20","-13.67"
"ASIANPAINT","2,732.60","2,778.80","2,682.30","2,671.60","2,683.00","-","11.40","0.43","13,97,713","382.73","2,985.70","2,115.00","9.76","18.76"
"BHARTIARTL","1,830.00","1,842.00","1,808.00","1,829.00","1,819.70","-","-9.30","-0.51","20,80,057","379.41","2,174.50","1,740.50","-3.58","-1.99"
