"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY LARGEMIDCAP 250","16,375.20","16,403.10","16,206.00","16,304.65","16,227.80","-","-76.85","-0.47","1,02,07,63,039","35,460.21","17,095.20","5,635.20","0.28","1.46"
"COALINDIA","456.55","477.00","456.55","457.90","473.35","-","15.45","3.37","3,32,56,700","1,553.39","491.25","368.65","-1.66","19.17"
"TCS","2,284.00","2,335.00","2,280.00","2,258.90","2,332.80","-","73.90","3.27","60,06,468","1,380.43","3,538.00","2,206.40","-5.71","-32.65"
"INFY","1,175.00","1,216.20","1,173.70","1,160.90","1,214.30","-","53.40","4.60","95,26,752","1,147.02","1,728.00","1,089.00","2.80","-22.26"
"ATGL","784.00","803.40","737.35","773.30","744.00","-","-29.30","-3.79","1,40,65,093","1,071.82","859.85","462.80","17.19","8.78"
"HDFCBANK","749.00","752.35","743.10","744.55","745.45","-","0.90","0.12","1,34,25,390","1,001.51","1,020.50","726.65","-3.41","-23.35"
"BSE","4,180.00","4,198.00","4,031.90","4,146.10","4,085.50","-","-60.60","-1.46","23,58,549","967.79","4,446.80","2,021.50","12.17","52.71"
"M&M","3,050.00","3,068.90","2,985.20","3,045.60","2,989.60","-","-56.00","-1.84","28,78,956","866.29","3,839.90","2,896.00","-3.63","0.28"
"RELIANCE","1,332.50","1,335.50","1,320.50","1,321.20","1,325.60","-","4.40","0.33","50,10,711","664.97","1,611.80","1,290.00","-7.37","-6.72"
"MCX","2,967.00","2,987.50","2,885.00","2,954.50","2,895.50","-","-59.00","-2.00","21,93,492","641.41","3,480.00","1,292.90","-2.54","119.33"
"ADANIPOWER","245.00","245.69","236.22","243.37","237.28","-","-6.09","-2.50","2,25,54,432","541.04","254.20","105.42","6.91","118.09"
"SBIN","966.25","970.25","958.50","964.40","959.50","-","-4.90","-0.51","55,99,155","539.82","1,234.70","781.70","-10.19","18.13"
"POWERINDIA","38,700.00","38,785.00","36,450.00","38,445.00","36,855.00","-","-1,590.00","-4.14","1,39,681","523.32","38,785.00","16,111.00","9.58","90.51"
"COFORGE","1,438.20","1,496.80","1,438.10","1,421.80","1,496.30","-","74.50","5.24","35,48,805","523.14","1,994.00","1,008.10","25.14","-12.49"
"SUZLON","56.81","56.90","54.40","56.99","54.68","-","-2.31","-4.05","9,36,68,814","517.05","74.30","38.19","-1.66","-23.53"
"GROWW","186.00","189.45","186.00","184.89","188.40","-","3.51","1.90","2,70,77,227","508.08","227.20","112.00","-12.49","-"
"VEDL","355.10","356.65","339.60","352.60","341.90","-","-10.70","-3.03","1,28,28,779","442.96","795.00","268.70","25.87","-21.52"
"INDIGO","4,525.00","4,633.90","4,489.80","4,405.00","4,505.30","-","100.30","2.28","9,72,834","442.68","6,232.50","3,895.20","4.86","-15.50"
"ICICIBANK","1,257.10","1,261.90","1,247.20","1,256.40","1,248.00","-","-8.40","-0.67","35,01,218","438.94","1,500.00","1,187.60","-1.21","-13.67"
"ASIANPAINT","2,732.60","2,778.80","2,682.30","2,671.60","2,683.00","-","11.40","0.43","13,97,713","382.73","2,985.70","2,115.00","9.78","18.79"
"BHARTIARTL","1,830.00","1,842.00","1,808.00","1,829.00","1,819.70","-","-9.30","-0.51","20,80,057","379.41","2,174.50","1,740.50","-3.60","-2.01"
"IDEA","14.20","14.31","14.14","13.99","14.23","-","0.24","1.72","26,61,79,539","378.51","14.44","6.12","39.14","105.49"
"TECHM","1,495.20","1,555.50","1,495.20","1,483.90","1,555.50","-","71.60","4.83","24,04,042","368.61","1,854.00","1,304.10","5.37","-1.35"
"PERSISTENT","5,238.00","5,498.00","5,226.50","5,194.30","5,481.00","-","286.50","5.52","6,67,703","361.69","6,599.00","4,449.10","14.19","-2.78"
"ADANIGREEN","1,477.00","1,486.00","1,442.40","1,475.40","1,459.00","-","-16.40","-1.11","23,01,855","337.02","1,532.50","765.00","18.88","43.82"
"BEL","412.35","413.70","404.75","410.75","405.50","-","-5.25","-1.28","82,45,291","336.02","473.45","361.20","-5.99","5.42"
"MOTHERSON","146.01","146.80","142.56","145.74","144.41","-","-1.33","-0.91","2,27,02,489","327.89","151.77","89.70","19.08","41.40"
"WIPRO","205.10","207.75","205.10","204.25","206.78","-","2.53","1.24","1,52,21,692","314.45","273.10","186.50","3.07","-17.17"
"ETERNAL","251.10","253.85","247.50","250.58","249.35","-","-1.25","-0.50","1,24,30,457","310.16","368.45","212.60","0.90","4.59"
"HCLTECH","1,190.10","1,212.00","1,190.10","1,183.80","1,210.00","-","26.20","2.21","25,76,048","309.70","1,780.10","1,103.40","0.93","-26.05"
"ADANIENT","2,949.90","2,955.70","2,891.10","2,937.40","2,915.80","-","-21.60","-0.74","10,59,329","309.46","3,027.50","1,753.00","20.92","19.04"
"ITC","287.80","288.55","283.90","286.90","284.20","-","-2.70","-0.94","1,04,49,749","297.82","428.55","283.90","-9.77","-32.03"
"ASHOKLEY","157.03","157.60","152.14","155.44","152.93","-","-2.51","-1.61","1,85,96,856","286.19","215.42","114.96","-5.73","29.48"
"LAURUSLABS","1,372.40","1,398.80","1,358.00","1,362.00","1,394.10","-","32.10","2.36","19,00,858","261.77","1,398.80","606.20","26.52","128.49"
"KOTAKBANK","384.15","387.00","378.00","384.20","379.55","-","-4.65","-1.21","67,23,800","256.41","453.20","345.50","-0.93","-8.48"
"LT","4,089.00","4,105.80","4,031.00","4,076.50","4,055.10","-","-21.40","-0.52","6,27,481","254.80","4,440.00","3,288.10","0.97","10.28"
