"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MICROCAP 250","23,787.10","23,822.25","23,566.25","23,642.95","23,595.15","-","-47.80","-0.20","29,09,98,900","7,182.23","26,476.90","5,802.95","2.75","0.46"
"APOLLO","410.55","429.80","408.20","409.00","415.05","-","6.05","1.48","2,07,78,663","876.76","433.80","162.34","39.75","119.78"
"MTARTECH","7,890.00","7,924.00","7,284.00","7,879.50","7,339.00","-","-540.50","-6.86","10,96,716","824.67","8,449.50","1,390.50","13.55","346.86"
"SUPRIYA","990.00","1,025.00","958.55","968.70","975.60","-","6.90","0.71","25,44,539","252.75","1,025.00","545.50","40.49","34.84"
"RUBICON","1,044.30","1,155.50","1,044.30","1,005.60","1,132.10","-","126.50","12.58","22,39,813","250.88","1,155.50","570.75","16.63","-"
"TDPOWERSYS","1,318.70","1,320.50","1,265.00","1,318.60","1,271.50","-","-47.10","-3.57","13,51,722","172.72","1,379.60","453.10","10.31","144.12"
"ICIL","324.00","353.90","318.90","312.10","345.20","-","33.10","10.61","45,31,523","155.42","353.90","216.90","24.46","18.30"
"ASHAPURMIN","750.00","788.00","732.90","739.50","741.85","-","2.35","0.32","17,59,124","134.37","924.90","366.10","17.51","76.09"
"RAIN","189.50","195.90","187.17","188.07","188.49","-","0.42","0.22","68,78,905","131.84","195.90","99.90","49.49","33.71"
"SKIPPER","570.00","576.50","542.85","549.35","551.10","-","1.75","0.32","21,52,714","120.07","588.00","327.05","15.18","12.10"
"JSLL","570.00","572.50","492.00","614.95","492.00","-","-122.95","-19.99","23,25,355","119.87","849.50","400.25","-27.10","15.37"
"SUDEEPPHRM","772.85","816.35","755.10","742.15","801.10","-","58.95","7.94","14,43,187","116.44","816.35","524.05","13.32","-"
"SURYAROSNI","238.00","258.47","238.00","235.45","252.75","-","17.30","7.35","42,70,523","107.99","359.00","187.35","0.99","-23.51"
"GOKEX","715.00","734.80","700.60","691.80","709.45","-","17.65","2.55","14,71,294","105.42","995.00","531.00","0.82","-28.40"
"RATEGAIN","754.50","802.00","748.00","746.45","785.30","-","38.85","5.20","12,58,536","98.82","802.00","417.60","30.41","77.07"
"LUMAXTECH","1,750.00","1,803.00","1,669.20","1,724.80","1,790.00","-","65.20","3.78","5,52,004","97.46","1,898.00","658.35","10.40","120.57"
"ASTRAMICRO","1,415.40","1,422.60","1,347.70","1,401.70","1,350.60","-","-51.10","-3.65","6,91,254","95.62","1,433.00","851.00","20.09","23.35"
"CUPID","129.65","131.50","129.15","129.06","129.87","-","0.81","0.63","66,19,083","86.42","133.92","17.68","8.63","500.28"
"PARAS","825.00","854.00","816.00","819.35","827.00","-","7.65","0.93","9,47,961","79.18","942.00","580.50","4.12","3.01"
"VIPIND","303.85","334.00","300.90","299.40","330.20","-","30.80","10.29","23,60,376","76.77","492.30","278.25","11.71","-8.50"
"VIYASH","262.00","270.90","259.25","261.94","264.30","-","2.35","0.90","27,42,856","72.94","277.35","166.00","29.65","37.69"
"SPARC","213.21","215.37","202.28","212.11","203.40","-","-8.71","-4.11","34,29,787","71.68","248.75","108.00","42.46","10.06"
"BBOX","1,049.00","1,068.00","1,020.00","1,037.15","1,051.40","-","14.20","1.37","6,52,937","68.57","1,068.00","435.05","64.31","103.51"
"SHAILY","3,004.90","3,072.90","2,925.60","2,989.50","3,018.00","-","28.50","0.95","2,11,354","63.78","3,072.90","1,535.90","19.20","49.69"
