"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 150","22,662.75","22,695.10","22,375.50","22,571.40","22,411.35","-","-160.05","-0.71","70,15,20,803","14,474.06","23,007.10","19,218.00","1.87","6.09"
"ATGL","784.00","803.40","737.35","773.30","743.85","-","-29.45","-3.81","1,40,80,986","1,073.00","859.85","462.80","17.20","8.79"
"BSE","4,180.00","4,198.00","4,031.90","4,146.10","4,082.10","-","-64.00","-1.54","23,60,894","968.75","4,446.80","2,021.50","12.13","52.66"
"MCX","2,967.00","2,987.50","2,885.00","2,954.50","2,897.60","-","-56.90","-1.93","21,98,380","642.82","3,480.00","1,292.90","-2.47","119.48"
"COFORGE","1,438.20","1,496.80","1,438.10","1,421.80","1,495.60","-","73.80","5.19","35,64,354","525.47","1,994.00","1,008.10","25.08","-12.53"
"POWERINDIA","38,700.00","38,785.00","36,450.00","38,445.00","36,755.00","-","-1,690.00","-4.40","1,40,031","524.61","38,785.00","16,111.00","9.55","90.46"
"SUZLON","56.81","56.90","54.40","56.99","54.66","-","-2.33","-4.09","9,38,02,296","517.79","74.30","38.19","-1.66","-23.53"
"GROWW","186.00","189.45","186.00","184.89","188.10","-","3.21","1.74","2,71,04,779","508.59","227.20","112.00","-12.50","-"
"IDEA","14.20","14.31","14.14","13.99","14.21","-","0.22","1.57","26,68,47,406","379.46","14.44","6.12","39.04","105.35"
"PERSISTENT","5,238.00","5,498.00","5,226.50","5,194.30","5,480.00","-","285.50","5.50","6,68,095","361.90","6,599.00","4,449.10","14.15","-2.82"
"ASHOKLEY","157.03","157.60","152.14","155.44","152.75","-","-2.69","-1.73","1,86,32,688","286.72","215.42","114.96","-5.77","29.42"
"LAURUSLABS","1,372.40","1,398.80","1,358.00","1,362.00","1,393.70","-","31.70","2.33","19,08,784","262.87","1,398.80","606.20","26.59","128.63"
"GVT&D","5,100.00","5,148.00","4,837.00","5,148.60","4,855.00","-","-294.00","-5.71","4,80,076","237.11","5,222.10","2,195.40","8.71","116.61"
"BHEL","417.00","417.80","404.55","416.75","407.25","-","-9.50","-2.28","55,00,092","225.25","424.90","205.12","15.36","56.47"
"OFSS","10,069.00","10,291.00","10,063.00","9,964.00","10,094.00","-","130.00","1.30","2,14,004","217.76","10,584.50","6,234.50","3.81","19.32"
