"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY SMALLCAP 250","17,082.70","17,139.65","16,933.10","16,992.10","16,980.10","-","-12.00","-0.07","1,06,33,22,822","18,491.52","18,077.35","14,143.45","1.49","0.87"
"WOCKPHARMA","2,377.00","2,422.30","2,205.00","2,031.40","2,219.00","-","187.60","9.24","79,54,137","1,815.07","2,422.30","1,086.70","58.57","51.03"
"NETWEB","4,691.80","4,925.70","4,590.00","4,670.70","4,756.50","-","85.80","1.84","29,46,240","1,397.33","4,925.70","1,700.10","16.94","137.77"
"JPPOWER","21.99","21.99","18.52","21.87","19.12","-","-2.75","-12.57","39,27,98,766","777.74","27.70","13.15","-3.04","23.04"
"HFCL","180.00","187.00","178.01","179.94","185.83","-","5.89","3.27","4,22,21,856","773.04","189.08","59.82","60.10","112.08"
"TEJASNET","525.10","553.70","521.35","520.40","531.40","-","11.00","2.11","1,09,15,940","586.25","749.95","294.00","28.03","-25.97"
"SAREGAMA","444.00","477.50","438.60","424.15","446.70","-","22.55","5.32","1,23,45,070","566.27","603.00","307.05","29.65","-17.83"
"REDINGTON","225.25","243.87","225.00","224.33","240.63","-","16.30","7.27","2,04,59,866","486.29","334.80","191.31","11.33","-7.09"
"ZEEL","94.10","99.80","92.54","93.11","97.26","-","4.15","4.46","4,50,27,030","438.74","151.70","68.00","8.22","-25.53"
"CPPLUS","3,074.70","3,193.80","3,047.50","2,903.50","3,145.10","-","241.60","8.32","13,68,004","431.34","3,193.80","1,015.00","35.02","-"
"OLAELEC","41.87","42.00","39.55","41.49","40.50","-","-0.99","-2.39","10,42,79,369","423.58","71.25","22.25","10.78","-20.53"
"NSLNISP","48.30","52.62","47.42","44.62","50.66","-","6.04","13.54","8,33,10,318","423.38","52.62","33.01","18.47","32.87"
"PTCIL","17,124.00","19,169.00","17,124.00","16,191.00","18,371.00","-","2,180.00","13.46","2,12,269","394.24","19,387.00","13,251.00","14.33","20.08"
"ANANTRAJ","522.00","548.95","517.00","514.15","540.40","-","26.25","5.11","67,94,027","367.26","743.65","403.00","10.98","-3.72"
"HSCL","604.00","612.25","588.60","606.45","593.00","-","-13.45","-2.22","57,55,902","343.89","654.45","418.50","-2.48","25.47"
"OLECTRA","1,255.00","1,289.50","1,240.10","1,180.00","1,256.80","-","76.80","6.51","25,40,226","321.42","1,714.20","866.60","0.91","2.22"
"INOXWIND","89.48","91.11","85.30","93.02","85.41","-","-7.61","-8.18","3,37,29,183","293.78","199.01","75.05","-15.44","-55.79"
"IFCI","68.60","71.45","68.18","68.53","69.98","-","1.45","2.12","3,36,65,067","235.45","74.50","46.23","19.22","3.78"
"PINELABS","146.00","149.10","144.46","144.51","144.90","-","0.39","0.27","1,46,75,818","215.19","284.00","134.73","-25.22","-"
"DATAPATTNS","4,063.30","4,088.00","3,867.00","4,043.10","3,876.00","-","-167.10","-4.13","5,44,432","214.86","4,303.00","2,131.00","-5.10","35.99"
"NATCOPHARM","1,010.00","1,014.00","937.00","1,015.90","946.80","-","-69.10","-6.80","21,58,214","206.68","1,226.80","789.00","-13.68","7.07"
"KAYNES","3,164.90","3,174.70","3,103.00","3,133.60","3,141.90","-","8.30","0.26","6,26,028","196.39","7,705.00","2,995.00","-22.43","-47.54"
"AEGISLOG","754.00","792.30","750.75","748.45","766.60","-","18.15","2.43","23,51,400","182.34","944.60","576.10","9.46","-3.72"
"TEGA","1,750.00","1,867.40","1,717.20","1,766.00","1,810.20","-","44.20","2.50","9,61,252","174.75","2,125.00","1,467.00","8.83","9.72"
"AMBER","7,630.00","7,768.00","7,541.00","7,615.00","7,681.00","-","66.00","0.87","2,19,031","167.89","8,974.00","5,400.50","-4.51","18.04"
"CHENNPETRO","1,065.20","1,114.20","1,060.20","1,058.20","1,105.80","-","47.60","4.50","14,77,052","162.25","1,159.70","603.10","-2.00","63.53"
"ATHERENERG","970.00","975.10","946.40","964.10","953.50","-","-10.60","-1.10","16,74,036","160.20","1,003.90","301.00","1.86","204.23"
"GESHIP","1,418.90","1,483.50","1,415.00","1,418.90","1,475.20","-","56.30","3.97","10,76,347","156.59","1,798.00","913.10","-6.42","58.52"
"SAMMAANCAP","178.00","179.61","174.52","177.01","178.55","-","1.54","0.87","86,15,539","152.76","192.95","114.10","23.46","43.84"
"NBCC","101.70","103.24","99.06","100.26","102.23","-","1.97","1.96","1,49,84,181","152.12","130.70","77.18","11.41","-17.23"
"ANGELONE","341.00","345.55","337.65","337.30","341.60","-","4.30","1.27","40,54,114","138.54","351.00","208.63","10.65","12.53"
"BANDHANBNK","210.00","211.41","206.22","208.30","208.33","-","0.03","0.01","65,32,472","136.86","212.66","134.25","4.30","22.39"
"RRKABEL","2,095.00","2,130.00","2,062.30","2,056.30","2,067.10","-","10.80","0.53","6,36,509","133.59","2,130.00","1,165.00","31.44","44.83"
"ANANDRATHI","3,497.90","3,518.00","3,460.20","3,450.70","3,512.00","-","61.30","1.78","3,75,569","131.09","3,735.00","1,859.80","-2.65","86.84"
"JBMA","629.00","661.65","629.00","621.45","646.85","-","25.40","4.09","19,69,472","128.41","790.00","477.00","2.58","-9.87"
"JYOTICNC","596.00","610.40","582.65","596.00","600.00","-","4.00","0.67","21,05,402","125.12","1,330.00","582.65","-19.99","-53.69"
"HINDCOPPER","544.00","550.00","540.05","538.70","541.60","-","2.90","0.54","21,89,888","119.38","760.05","226.70","1.26","118.82"
"GRSE","2,663.90","2,676.30","2,600.00","2,654.80","2,617.50","-","-37.30","-1.41","4,49,765","118.35","3,538.40","1,963.70","-10.69","-12.84"
"ACMESOLAR","314.00","324.40","311.30","310.10","314.75","-","4.65","1.50","36,79,293","117.30","324.40","195.90","3.88","19.37"
"EMMVEE","329.50","332.55","306.05","325.30","307.40","-","-17.90","-5.50","35,42,161","110.73","332.55","171.51","17.15","-"
"GMDCLTD","670.95","690.25","665.05","670.00","677.15","-","7.15","1.07","15,43,319","104.73","771.90","354.20","-8.06","89.42"
"FORCEMOT","19,536.00","19,624.00","18,893.00","19,473.00","19,125.00","-","-348.00","-1.79","52,038","99.85","26,450.00","11,580.00","-3.89","51.22"
"CDSL","1,250.50","1,260.90","1,224.60","1,244.60","1,228.30","-","-16.30","-1.31","8,03,811","99.68","1,828.90","1,116.30","-3.43","-19.70"
"PGEL","483.95","487.40","466.45","482.55","471.00","-","-11.55","-2.39","20,71,274","98.40","836.45","436.55","-11.80","-38.95"
"SYRMA","1,102.00","1,114.00","1,085.90","1,088.55","1,103.00","-","14.40","1.32","8,81,883","97.01","1,188.00","500.00","15.09","104.84"
"SCI","292.95","294.65","287.00","292.30","290.35","-","-1.95","-0.67","32,47,937","94.45","368.75","195.55","-4.79","43.86"
"NEULANDLAB","17,102.00","17,684.00","16,891.00","17,088.00","17,470.00","-","382.00","2.24","51,156","88.90","19,747.00","11,058.00","16.48","51.92"
